time_iso8601,stars_cumulative
2026-09-16 00:00:00+00:00,49
2026-09-17 00:00:00+00:00,96
2026-09-18 00:00:00+00:00,132
2026-09-19 00:00:00+00:00,154
2026-09-20 00:00:00+00:00,162
2026-09-21 00:00:00+00:00,174
2026-09-22 00:00:00+00:00,181
2026-09-23 00:00:00+00:00,188
2026-09-24 00:00:00+00:00,192
